SMILES,Docking_Status,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,predicted_irritation,predicted_melanin,logP
O=C(O[*:2]c1cc([*:1])co1)C1CCCC([*:1]N2CCOCC2)C1,Not attempted,12.424398935500125,12.424398935500125,0.107380899890821,-2.060552631941972,0.8018808071470971,30.5,278.328,258.16799999999995,278.13923312,109.0,0.0,,,,,1.55,2.5,3.35,,,,,,,,,2.9919088050961697,1.4387259499309197,518.5751964026864,16.070703332935974,11.546462083606297,11.546462083606297,11.203509938206668,6.8455741975493165,6.8455741975493165,4.418990527063831,4.418990527063831,2.87009625855531,2.87009625855531,1.8017190519958985,1.8017190519958985,-1.33,275650.54203112033,10.404492491016372,4.895664212236049,2.7373179708364948,119.85925890729123,0.0,0.0,0.0,0.0,0.0,119.32552339156791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.055078469765924,18.298835352052517,0.0,5.316788604006331,5.917906046161393,32.10410811463005,26.303276740850986,12.329530064100666,0.0,0.0,12.329530064100666,0.0,0.0,0.0,37.58937063280917,14.637927532712578,5.917906046161393,25.683286491704038,16.746681001154013,6.4208216229260096,0.0,0.0,51.91,0.0,4.794537184071822,0.0,11.887211334113243,0.0,51.828904605268065,18.90801031431363,0.0,6.263162995639057,11.383155672467941,14.260541285694103,7.764223789873418,0.0,12.424398935500125,8.496816113663607,0.0,0.29508899701856084,3.52405122141875,8.545334472665925,4.11675313652628,0.0,0.6666666666666666,20.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,8.0,2.0,5.0,1.0,1.0,2.0,0.0,2.0,2.5468450767373776,3.0,0.9335999999999998,72.16800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.9335999999999998
c1sc([*:2])nc1[*:1]C1CCOC1CC(C(N[*:2])[*:3])[*:1],Not attempted,6.124057775888133,6.124057775888133,0.3335530359858463,-1.2661014266817838,0.7280607971690435,36.57142857142857,208.286,196.18999999999997,208.067034004,74.0,0.0,,,,,2.142857142857143,3.2142857142857144,4.071428571428571,,,,,,,,,2.98660458058024,1.8943025364623787,407.0266600921693,13.828062645816686,7.771781865935457,8.588278446863184,9.096555450524587,4.380179203365616,5.25983201462051,2.6395832819583753,3.2935619885844623,1.6401066050284656,2.0600633388216436,1.039583725464946,1.3031068638123107,-0.44999999999999996,27079.543732121037,5.583843316043197,2.375082192218073,1.2133467122541008,89.29944509815083,0.0,0.0,0.0,0.0,0.0,88.8176316954184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,23.044168723165193,0.0,10.717645998109393,0.0,38.33200928536491,6.606881964512918,5.380062770465915,0.0,0.0,17.44105032239264,0.0,0.0,11.336785877934737,24.239583279121003,4.736862953800049,0.0,12.841643245852019,5.380062770465915,12.841643245852019,0.0,0.0,34.15,0.0,0.0,0.0,0.0,6.103966387748303,25.993281616277514,18.352182519469398,6.196843571613076,11.336785877934737,11.1137302476281,9.720841474747257,6.6334046778337905,1.9537152573890486,4.8498546548248935,2.4103569853867475,5.3047793677082105,0.0,0.0,7.2326102292768955,2.115278827580415,0.0,0.7,14.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,9.0,2.0,6.0,0.0,1.0,1.0,0.0,4.0,0.9472919160050078,2.0,0.2625999999999998,54.77970000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0.2625999999999998
O=C([O-])C1C=C([*:1]OC(=O)C2CCCCC2)C([*:2])C1,Not attempted,11.981682728647016,11.981682728647016,0.018240740740741224,-2.0984637188208617,0.7327495511966199,31.529411764705884,236.2669999999999,220.13899999999995,236.10540757191,93.0,0.0,,,,,1.4705882352941178,2.235294117647059,2.8823529411764706,,,,,,,,,2.7854317344809796,1.8254226128558348,388.1044554761363,13.828062645816686,9.685034925733243,9.685034925733243,9.075387400469408,5.937523614495764,5.937523614495764,4.352657864740716,4.352657864740716,3.0283001414877506,3.0283001414877506,1.9498023602712642,1.9498023602712642,-1.32,24823.76761769449,9.683769103439422,4.1658939645383875,2.3517665926946227,101.33463391935491,0.0,0.0,0.0,0.0,0.0,100.67434340020138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.802129157825057,11.938610575903699,0.0,0.0,11.835812092322787,44.94575136048208,0.0,12.152040213667762,0.0,0.0,5.106527394840706,0.0,0.0,0.0,11.938610575903699,14.69560176298435,11.835812092322787,38.524929737556064,12.152040213667762,6.4208216229260096,0.0,0.0,66.43,11.887211334113243,14.69560176298435,0.0,11.887211334113243,6.4208216229260096,32.10410811463005,12.49684172975989,0.0,6.076020106833881,0.0,5.106527394840706,-2.0042509133282946,0.0,22.851942201684267,16.503606033883813,0.0,-1.2199287014826332,0.0,9.86863137924285,0.0,0.0,0.6923076923076923,17.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,2.373032662470682,2.0,1.101399999999999,57.61400000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.101399999999999
O=C(OCCC1CCCC1[*:2]c1ccnc2c([*:1])cccc12)[*:1],Not attempted,11.07189946501028,11.07189946501028,0.10619513609953724,-1.4666567460317461,0.835879540998368,24.2,267.32800000000003,250.19199999999995,267.125928784,102.0,0.0,,,,,1.55,2.55,3.5,,,,,,,,,2.952886449162342,1.7321864884960507,707.2979999409391,16.233840039752504,11.340695966687806,11.340695966687806,11.147867045540844,6.852832721065178,6.852832721065178,4.668733556064791,4.668733556064791,3.2799635772009568,3.2799635772009568,2.25580269716892,2.25580269716892,-1.8999999999999995,242325.67356405844,9.91851914319447,4.301677002358285,2.0711691990002317,119.52731987690223,0.0,0.0,0.0,0.0,0.0,119.11446656330374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53140013787187,29.507879933720744,0.0,4.9839785209472085,5.917906046161393,32.10410811463005,6.606881964512918,30.462311845459514,0.0,0.0,12.13273413692322,4.794537184071822,0.0,0.0,18.06308135017659,4.736862953800049,5.917906046161393,25.683286491704038,30.462311845459514,6.4208216229260096,10.902924932081056,0.0,39.19,0.0,4.794537184071822,0.0,6.472220864716464,6.606881964512918,18.75954929201341,36.2317568693207,6.06636706846161,6.196843571613076,29.24944679479365,4.736862953800049,3.7394103670751324,0.0,15.727857099096973,1.4735518235071807,1.3063755288489236,0.8233791572184427,12.357127610435725,8.291399820718002,0.7808985930996211,0.0,0.4117647058823529,20.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,6.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,2.133313284786502,3.0,2.784300000000001,78.06700000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2.784300000000001
O=C(N[*:1]C1CCN([*:1]C(=N[*:2])[*:3])CC1)N[*:2],Not attempted,11.207311893153342,11.207311893153342,0.03013929362684764,-1.373292548500882,0.5790849397944221,28.0,167.192,156.10399999999998,167.093285972,65.0,0.0,,,,,2.0,2.9166666666666665,3.6666666666666665,,,,,,,,,2.369105704053447,2.192240978499398,281.43761900764156,12.673362107437434,6.708452875399596,6.708452875399596,8.151397005390978,3.376683055943312,3.376683055943312,1.865969942266307,1.865969942266307,0.9826749462278618,0.9826749462278618,0.6212893378425065,0.6212893378425065,-1.1,6377.632555311879,4.225738697045212,1.9801999949496234,1.158126394362086,73.01125154468046,0.0,0.0,0.0,0.0,0.0,72.08855269743523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.794537184071822,12.748630668638004,0.0,16.784123558330702,5.409283605791522,19.26246486877803,13.08951281182515,0.0,0.0,0.0,11.46733495432437,4.794537184071822,0.0,0.0,31.154932084469486,0.0,0.0,12.841643245852019,5.409283605791522,6.4208216229260096,0.0,0.0,56.730000000000004,0.0,4.794537184071822,0.0,6.031114512338072,0.0,6.4208216229260096,25.93115605767717,0.0,6.717516156299933,22.193407164122224,0.0,-1.6763510478418489,0.0,11.207311893153342,7.510849040029235,6.14267489364892,0.0,0.17406571708113927,3.7590915532879814,4.5490246173078965,0.0,0.7142857142857143,12.0,2.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.6973173122122799,1.0,0.003799999999999859,43.65940000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.003799999999999859
O=C(O[*:2]C1CCCCN1[*:2]C1CCOC1[*:1])[*:1],Not attempted,11.132954328336272,11.132954328336272,0.19837409192071864,-1.6443367346938778,0.6853456213203448,43.857142857142854,197.234,182.11399999999998,197.10519334,78.0,0.0,,,,,1.7857142857142858,2.857142857142857,3.7142857142857144,,,,,,,,,2.7385154391003645,1.8421084240735537,294.2963572101504,12.957819157813608,8.146649961579712,8.146649961579712,8.66470379794645,4.656882255479251,4.656882255479251,2.699121388911664,2.699121388911664,1.5943553796531498,1.5943553796531498,0.9614962465623926,0.9614962465623926,-0.6100000000000001,15992.93016434613,6.077986502345856,2.7020610295893857,1.423494020008287,85.64289332275375,0.0,0.0,0.0,0.0,0.0,84.83432185691643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.637927532712578,6.472220864716464,0.0,5.316788604006331,0.0,45.255746485055546,13.151638370425493,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,38.09228620957378,9.843390348640755,0.0,25.683286491704038,0.0,6.4208216229260096,0.0,0.0,38.769999999999996,0.0,4.794537184071822,0.0,6.472220864716464,0.0,26.179341957864423,32.22804289761662,0.0,0.0,5.316788604006331,9.843390348640755,3.1395670876375243,0.0,11.132954328336272,8.538957624716552,0.0,0.0,0.0,6.595211325270849,4.259976300705467,0.0,0.9,14.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,4.0,0.0,2.0,2.0,0.0,3.0,1.1730778904542165,2.0,1.5685,48.933000000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.5685
S=C(N[*:1])[*:2][*:2]c1ccc([*:3]C2CCCC2)c([*:1])c1,Not attempted,5.4614039210215255,5.4614039210215255,0.3312858697241676,-0.9959503600823045,0.7160941774100974,22.285714285714285,203.30999999999992,190.20599999999996,203.076870416,72.0,0.0,,,,,1.7857142857142858,2.7857142857142856,3.642857142857143,,,,,,,,,2.9142619596209642,1.9370556572958597,447.74592504133665,13.664925939000156,8.046076491968558,8.862573072896284,9.185871848001627,4.508654597872243,4.9169028883361054,2.6082069594791712,2.8123311047111024,1.5682237427747003,1.5682237427747003,0.9910254037844387,0.9910254037844387,-0.89,29165.93369188661,5.264651209596264,2.370712205205895,1.2525493879907406,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,35.90839232693433,0.0,5.733667477162185,0.0,32.10410811463005,0.0,18.19910120538483,0.0,0.0,23.932768682547014,0.0,0.0,12.217873443046695,5.491417678502805,0.0,,25.683286491704038,18.19910120538483,6.4208216229260096,0.0,0.0,12.03,,0.0,0.0,0.0,0.0,0.0,11.912239301428816,25.683286491704038,18.19910120538483,23.932768682547014,12.217873443046695,-0.2357730032077212,3.6327806059547574,0.0,0.0,4.95229786115293,0.0,13.757252325312841,7.560108877453859,0.0,0.0,0.4166666666666667,14.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.8914980627672744,2.0,0.9831000000000001,63.29570000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.9831000000000001
O=S([*:1]c1ccc([*:1]C2CCCC2)c(N[*:2])c1)[*:2],Not attempted,11.520564414458264,11.520564414458264,0.10658549414817464,-1.4635037163013356,0.7919720554402826,23.714285714285715,207.29799999999994,194.19399999999996,207.071785036,74.0,0.0,,,,,1.7142857142857142,2.642857142857143,3.4285714285714284,,,,,,,,,2.8292728913792375,2.11260821004489,437.05143113820003,12.957819157813608,7.954324782432421,8.770821363360147,8.685871848001627,4.471197119306978,4.804530452640312,2.775482454160612,2.775482454160612,1.7125613100721069,1.7125613100721069,1.074358737117772,1.074358737117772,-0.83,16873.783524185772,5.908225691498592,2.599223492606586,1.3577575321525523,91.04000302167084,0.0,0.0,0.0,0.0,0.0,90.59927314109639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.208898492164469,30.353497851754845,0.0,0.0,0.0,32.10410811463005,5.733667477162185,18.19910120538483,0.0,0.0,17.866401614085405,5.687386274683562,0.0,0.0,4.208898492164469,12.533377440148064,0.0,25.683286491704038,18.19910120538483,6.4208216229260096,0.0,0.0,29.1,0.0,4.208898492164469,0.0,12.533377440148064,0.0,0.0,37.79149438931361,12.13273413692322,0.0,23.932768682547014,0.0,9.25947291188182,-0.2243204452562919,0.0,0.0,5.1824467750063,0.0,10.603252865961199,7.234703447962526,0.0,0.0,0.45454545454545453,14.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,7.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0969142154974951,2.0,1.4739,59.69310000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.4739
c1cc([*:1]c2ccc3c(c2)OCO3)cc([*:2][NH+](C2CCC([*:3])C2)[*:1])c1,Not attempted,5.558914880259785,5.558914880259785,0.38564204237454613,-1.539613147728227,0.8520749348033934,27.80952380952381,280.347,262.203,280.13320523608996,106.0,0.0,,,,,1.1428571428571428,2.0952380952380953,3.0952380952380953,,,,,,,,,3.2324953159256578,1.4233029152070917,757.6059661354666,17.225403871315223,11.841076128380552,11.841076128380552,12.169836433395455,6.966667932862259,6.966667932862259,4.581470785244817,4.581470785244817,2.9390711038015302,2.9390711038015302,1.8488137578828974,1.8488137578828974,-1.9999999999999996,970527.6261488354,9.106508875739644,3.799853907962016,2.0,126.24513116796713,0.0,0.0,0.0,0.0,0.0,125.88815736289804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.207393384762284,18.19910120538483,0.0,0.0,0.0,31.725127320852,6.792942306099827,42.46456947923127,0.0,11.49902366656781,33.40649459014711,0.0,11.49902366656781,0.0,12.834783135247788,0.0,0.0,19.26246486877803,42.46456947923127,6.4208216229260096,0.0,0.0,22.900000000000002,0.0,0.0,0.0,0.0,6.792942306099827,17.54086449571577,6.4208216229260096,31.39519900570125,6.06636706846161,48.19823695639346,9.473725907600098,9.326354172890065,0.0,0.0,0.0,2.224795854164541,1.883553436963326,22.793831642883877,6.0524895173903115,0.38564204237454613,0.0,0.3333333333333333,21.0,1.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,1.0,7.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,1.6477811113985747,4.0,0.3158999999999996,80.26070000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.3158999999999996
Clc1cc([*:2])ccc1[*:1]C1CCNCC1,Not attempted,6.335623031620054,6.335623031620054,0.31994882212144116,-1.1972685185185186,0.7507868654149276,21.153846153846153,194.68499999999995,181.58099999999996,194.073652096,69.0,0.0,,,,,1.5384615384615385,2.3846153846153846,3.1538461538461537,,,,,,,,,2.2382669377492124,2.0270381636286894,337.3598482774643,10.673362107437434,7.515792674513921,8.271721620532377,7.254020195423489,4.450619470331472,4.8285839433407,2.752638169046961,3.1598382957875675,1.66131292261692,1.8795308128529125,1.009917503893547,1.1359056615632896,-0.53,3294.7289323668406,6.855082121954246,3.000689757957182,1.7178903385194821,85.10924210196974,0.0,0.0,0.0,0.0,0.0,84.62417483089142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.733674027155736,0.0,5.316788604006331,0.0,19.26246486877803,13.08951281182515,23.221734519126155,0.0,0.0,17.449522740929552,0.0,0.0,11.600939890232516,13.08951281182515,0.0,0.0,12.841643245852019,18.19910120538483,11.443454936667337,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0,11.443454936667337,31.99752312613878,6.06636706846161,0.0,23.51588980939116,11.600939890232516,-0.8773196963970774,6.335623031620054,0.0,4.553304647476275,0.0,0.0,10.062111468044009,3.899313271604938,2.4714117220962457,0.0,0.45454545454545453,13.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.5823057471771915,2.0,1.3968,56.57370000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.3968
