SMILES,Docking_Status,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C(O)C1CCCC([*:1]Cl)C1[*:2]C(F)(C[*:1])[*:3],Not attempted,14.426946334089191,14.426946334089191,0.15701223544973542,-1.9746296296296295,0.7511714864223493,44.0,206.64399999999998,194.54799999999997,206.050985524,74.0,0.0,,,,,2.076923076923077,2.923076923076923,3.5384615384615383,,,,,,,,,2.2823044026678767,2.807572399888666,279.7214684051023,13.05204176387779,7.1718687642973435,7.927797710315797,7.909014043794347,3.742104952269004,3.742104952269004,2.437417371147483,2.437417371147483,1.5715071701802807,1.5715071701802807,1.0181241254408118,1.0181241254408118,-0.31000000000000005,4562.326500933085,6.225553520457816,2.3803444145668653,1.431581751530937,84.93317245071783,0.0,0.0,0.0,0.0,0.0,84.28816040847614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.291479626587348,18.376338449131826,0.0,0.0,5.917906046161393,45.702436286595585,0.0,0.0,0.0,0.0,0.0,4.39041504767482,0.0,12.407033161179976,17.750423655067465,4.794537184071822,5.917906046161393,19.26246486877803,0.0,19.765380445542643,0.0,0.0,37.3,12.643896260226757,14.291479626587348,0.0,5.917906046161393,12.841643245852019,26.186202068468653,0.0,0.0,0.0,0.0,12.407033161179976,10.751355583900228,6.227764235323759,11.33870559334845,9.32978127362056,0.0,-0.8247356072058447,0.0,3.9100849552784074,0.2948217435122198,0.0,0.8888888888888888,13.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,8.0,0.0,5.0,1.0,0.0,1.0,0.0,4.0,1.1399201192314499,1.0,2.9121000000000015,46.97580000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OC1CC([*:1]C2CCCCC2)CC1[*:2],Not attempted,9.800085506424793,9.800085506424793,0.17693570483749044,-0.8702777777777779,0.6696735457746913,47.416666666666664,167.272,148.11999999999998,167.143590228,69.0,0.0,,,,,1.1666666666666667,2.0,2.6666666666666665,,,,,,,,,2.473622053649373,1.7447490556742475,170.1263448992907,9.966255326250886,7.706362140564295,7.706362140564295,6.754020195423489,5.041021965863672,5.041021965863672,3.4898151360761767,3.4898151360761767,2.299480618581527,2.299480618581527,1.5149834173033683,1.5149834173033683,-0.04,2295.521265786618,6.419321112985788,2.7290290400440163,1.392841603005566,76.17707477046244,0.0,0.0,0.0,0.0,0.0,75.41871001184913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.106527394840706,0.0,0.0,0.0,0.0,70.31218261700842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.210493782589008,0.0,0.0,44.94575136048208,0.0,19.26246486877803,0.0,0.0,20.23,0.0,5.106527394840706,0.0,6.103966387748303,0.0,12.841643245852019,38.524929737556064,12.841643245852019,0.0,0.0,0.0,-0.4422522990677753,0.0,0.0,9.800085506424793,0.0,0.0,0.0,13.975500125976314,0.0,0.0,1.0,12.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,1.4598761445588242,2.0,3.1050000000000013,49.57580000000004,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S=C([*:1])[*:2]C1CCCC1,Not attempted,5.254351851851851,5.254351851851851,0.5039814814814814,-0.7546296296296298,0.4949017316427716,27.142857142857142,113.20500000000001,104.13299999999998,113.042496288,39.0,0.0,,,,,1.8571428571428572,2.5714285714285716,3.142857142857143,,,,,,,,,2.1520145580443932,2.1867850903125685,107.62548782626679,6.69023444431199,4.314025684399679,5.130522265327405,4.287693700234704,2.5206207261596574,2.9288690166235205,1.573132184970986,1.573132184970986,1.0664965809277258,1.0664965809277258,0.721687836487032,0.721687836487032,0.09,144.18497538897435,3.182387456567439,1.2828910195376626,0.8283250899883808,50.92274184701748,0.0,0.0,0.0,0.0,0.0,50.192380029957604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.08827191532755,0.0,0.0,0.0,32.10410811463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.217873443046695,5.870398472280854,0.0,0.0,25.683286491704038,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26246486877803,18.712041718132873,0.0,0.0,12.217873443046695,-0.2506481481481484,5.254351851851851,0.0,0.0,0.0,1.6962037037037039,0.0,7.466759259259259,0.0,0.0,0.8333333333333334,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.5832366126742387,1.0,2.2681000000000004,34.815999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O[*:2]c1cc([*:1])co1)C1CCCC([*:1]N2CCOCC2)C1,Not attempted,12.424398935500125,12.424398935500125,0.107380899890821,-2.060552631941972,0.8018808071470971,30.5,278.328,258.16799999999995,278.13923312,109.0,0.0,,,,,1.55,2.5,3.35,,,,,,,,,2.9919088050961697,1.4387259499309197,518.5751964026864,16.070703332935974,11.546462083606297,11.546462083606297,11.203509938206668,6.8455741975493165,6.8455741975493165,4.418990527063831,4.418990527063831,2.87009625855531,2.87009625855531,1.8017190519958985,1.8017190519958985,-1.33,275650.54203112033,10.404492491016372,4.895664212236049,2.7373179708364948,119.85925890729123,0.0,0.0,0.0,0.0,0.0,119.32552339156791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.055078469765924,18.298835352052517,0.0,5.316788604006331,5.917906046161393,32.10410811463005,26.303276740850986,12.329530064100666,0.0,0.0,12.329530064100666,0.0,0.0,0.0,37.58937063280917,14.637927532712578,5.917906046161393,25.683286491704038,16.746681001154013,6.4208216229260096,0.0,0.0,51.91,0.0,4.794537184071822,0.0,11.887211334113243,0.0,51.828904605268065,18.90801031431363,0.0,6.263162995639057,11.383155672467941,14.260541285694103,7.764223789873418,0.0,12.424398935500125,8.496816113663607,0.0,0.29508899701856084,3.52405122141875,8.545334472665925,4.11675313652628,0.0,0.6666666666666666,20.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,8.0,2.0,5.0,1.0,1.0,2.0,0.0,2.0,2.5468450767373776,3.0,0.9335999999999998,72.16800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC[*:1]C(c1ccccc1)[*:2],Not attempted,2.3577503779289493,2.3577503779289493,0.5798233182161754,-0.7262962962962964,0.5587075256596881,15.545454545454545,147.24099999999999,132.12099999999998,147.11737548,59.0,0.0,,,,,1.5454545454545454,2.3636363636363638,3.090909090909091,,,,,,,,,2.1936618286732807,2.354352815103009,220.7917050325024,9.518661569058182,7.085421958697399,7.085421958697399,6.342535255101096,3.90646551830432,3.90646551830432,2.2642369931162336,2.2642369931162336,1.153125882005122,1.153125882005122,0.4530389187988476,0.4530389187988476,-0.78,1061.732325077868,5.817954575285077,3.080884117573751,1.8268530577554927,70.26194484500922,0.0,0.0,0.0,0.0,0.0,69.50814167892894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.61285484492389,0.0,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.25256913693026,30.33183534230805,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.765380445542643,12.487188691387619,0.0,37.255572541998674,0.0,-0.14647297808012105,0.0,0.0,0.0,1.7070398715041575,0.0,11.277852969891661,2.9345270376669186,5.227053099017384,0.0,0.45454545454545453,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.6294948952510302,1.0,3.5379000000000023,48.89800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CC(C(N[*:2])[*:3]C1CCCCC1)[*:1],Not attempted,3.872398904006047,3.872398904006047,0.48904785525321237,-0.7749537037037038,0.6308570396850648,32.1,139.242,122.10599999999998,139.136099544,58.0,0.0,,,,,1.7,2.5,3.1,,,,,,,,,2.151568988746881,2.2683588506976653,134.8215038206899,9.681798275874712,6.767584713501616,6.767584713501616,6.236382105218448,4.015855318045498,4.015855318045498,2.4266855755642593,2.4266855755642593,1.4831632475943926,1.4831632475943926,0.8984645317836688,0.8984645317836688,-0.04,920.8715271836651,4.760640146319159,2.22878600008794,1.195415498931057,64.99867864001514,0.0,0.0,0.0,0.0,0.0,64.14791244324746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733667477162185,0.0,58.41424496608528,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,6.544756405912575,0.0,0.0,39.02784531432067,0.0,12.841643245852019,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0,0.0,19.386399651764595,32.10410811463005,0.0,12.65740467685281,0.0,0.35078089569161,0.0,0.0,0.0,3.872398904006047,0.0,0.0,10.528599537037037,3.748220663265306,0.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0610448109572743,1.0,2.561700000000001,43.18270000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)[*:1]C12CC3CC(C1)C([*:2]Nc1ccccc1[*:1])C(C3)C2,Not attempted,4.138296249055178,4.138296249055178,0.3289931532548638,-1.2871804138321998,0.7399435374221279,44.19047619047619,282.4510000000001,254.22699999999995,282.222174896,113.0,0.0,,,,,1.380952380952381,2.1904761904761907,2.9523809523809526,,,,,,,,,2.5433527421800686,1.4389744270879885,574.0016225681564,16.7338400397525,13.438793109825921,13.438793109825921,11.583248657969115,8.35512048172319,8.35512048172319,6.505154556385858,6.505154556385858,4.612886122584192,4.612886122584192,3.7571511658616177,3.7571511658616177,-0.9800000000000001,367463.6041901763,10.697209809045368,4.056444662556571,1.959973399929793,130.874652264533,0.0,0.0,0.0,0.0,0.0,130.63856066158874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.753753343145172,0.0,0.0,17.75371813848418,71.13195342895074,5.733667477162185,24.26546827384644,0.0,0.0,11.800034545623795,5.687386274683562,0.0,0.0,0.0,0.0,17.75371813848418,52.37240413693732,24.26546827384644,18.75954929201341,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0,5.917906046161393,37.01618300726221,43.857861457775215,0.0,43.84661015038987,0.0,-1.9678290364668574,0.0,0.0,0.0,5.723944258386449,4.5833505763416476,10.965110023932903,12.373939820739686,5.071484357066171,0.0,0.7,21.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,4.0,0.0,6.0,4.0,0.0,4.0,0.0,3.0,2.0663161730547563,5.0,5.363600000000004,89.41170000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1sc([*:2])nc1[*:1]C1CCOC1CC(C(N[*:2])[*:3])[*:1],Not attempted,6.124057775888133,6.124057775888133,0.3335530359858463,-1.2661014266817838,0.7280607971690435,36.57142857142857,208.286,196.18999999999997,208.067034004,74.0,0.0,,,,,2.142857142857143,3.2142857142857144,4.071428571428571,,,,,,,,,2.98660458058024,1.8943025364623787,407.0266600921693,13.828062645816686,7.771781865935457,8.588278446863184,9.096555450524587,4.380179203365616,5.25983201462051,2.6395832819583753,3.2935619885844623,1.6401066050284656,2.0600633388216436,1.039583725464946,1.3031068638123107,-0.44999999999999996,27079.543732121037,5.583843316043197,2.375082192218073,1.2133467122541008,89.29944509815083,0.0,0.0,0.0,0.0,0.0,88.8176316954184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,23.044168723165193,0.0,10.717645998109393,0.0,38.33200928536491,6.606881964512918,5.380062770465915,0.0,0.0,17.44105032239264,0.0,0.0,11.336785877934737,24.239583279121003,4.736862953800049,0.0,12.841643245852019,5.380062770465915,12.841643245852019,0.0,0.0,34.15,0.0,0.0,0.0,0.0,6.103966387748303,25.993281616277514,18.352182519469398,6.196843571613076,11.336785877934737,11.1137302476281,9.720841474747257,6.6334046778337905,1.9537152573890486,4.8498546548248935,2.4103569853867475,5.3047793677082105,0.0,0.0,7.2326102292768955,2.115278827580415,0.0,0.7,14.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,1.0,9.0,2.0,6.0,0.0,1.0,1.0,0.0,4.0,0.9472919160050078,2.0,0.2625999999999998,54.77970000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(C[*:2]C1CCCO1)[*:1],Not attempted,5.615555555555556,5.615555555555556,0.49750850340136055,-0.8194444444444444,0.531306959897967,33.25,114.168,102.07199999999997,114.091889004,47.0,0.0,,,,,2.25,3.25,3.875,,,,,,,,,2.3379552625750493,2.0127911806480627,93.74860596185445,7.397341225498538,5.2612392798996375,5.2612392798996375,4.787693700234704,2.696067046970988,2.696067046970988,1.4959137697701894,1.4959137697701894,0.7020151031226117,0.7020151031226117,0.41666666666666663,0.41666666666666663,-0.08,259.5130341458305,3.854020551508844,1.706856447907752,1.0085545696139813,51.22736901292752,0.0,0.0,0.0,0.0,0.0,50.20440269803862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,0.0,0.0,5.316788604006331,0.0,19.448525210364938,20.702225929867296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.625896498386545,4.736862953800049,0.0,12.841643245852019,0.0,0.0,0.0,0.0,12.47,0.0,0.0,0.0,0.0,0.0,13.213763929025836,19.88931522852921,0.0,0.0,12.36446058668352,4.736862953800049,5.293619614512472,0.0,0.0,2.571111111111111,0.0,0.0,0.0,2.7554629629629632,1.9149074074074073,3.79823223733938,1.0,8.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.8222824785889826,1.0,0.5614999999999999,31.603999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(S[*:2])[*:1](OC1CN([*:2])CCC1[*:1])C1(C(=O)O)CCCCC1,Not attempted,12.336887203955655,12.336887203955655,0.2689131393298061,-3.139212962962963,0.8120580481643531,37.31578947368421,285.40900000000005,262.22499999999997,285.139864596,108.0,0.0,,,,,1.736842105263158,2.526315789473684,3.210526315789474,,,,,,,,,2.549872472404304,2.2250151980061266,411.4836176348838,17.035169427003233,11.508077119452766,12.324573700380492,10.902719877424559,6.715877960443851,7.187282481234883,4.397685254052573,4.869089774843605,2.7853742370351626,2.7853742370351626,1.8371969852804713,1.8371969852804713,-0.26,122822.2572507705,10.464425448679139,4.366911255885076,2.195690445306702,121.93841696643103,0.0,0.0,0.0,0.0,0.0,121.65620242637877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.007591973753234,18.59809443596484,0.0,5.316788604006331,0.0,69.64421460082919,13.08951281182515,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,41.33895409311913,9.901064578912528,0.0,45.448666937246685,0.0,12.338727669087403,0.0,0.0,49.769999999999996,5.969305287951849,9.901064578912528,0.0,5.917906046161393,11.85681999449509,32.10410811463005,25.931156057677168,0.0,0.0,24.869314951709946,5.106527394840706,-2.287363866843033,2.12828727324263,12.336887203955655,19.793219403502142,0.0,-0.23064224300831382,0.0,8.01607205845301,4.8268735040312425,0.0,0.9285714285714286,19.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,9.0,1.0,6.0,1.0,1.0,2.0,0.0,3.0,2.4051166988530084,2.0,3.166000000000002,75.27980000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
